date,Unemployment,real Consumption Growth
1981-10-01,8.233333333333334,
1982-01-01,8.833333333333334,2.9792241820509213
1982-04-01,9.433333333333334,1.2243149192025626
1982-07-01,9.9,2.711789928610342
1982-10-01,10.666666666666666,7.186115030806639
1983-01-01,10.366666666666667,4.012921235385281
1983-04-01,10.133333333333333,8.395720141181728
1983-07-01,9.366666666666667,7.376527641461461
1983-10-01,8.533333333333333,6.5184730842491545
1984-01-01,7.866666666666667,3.3705224375455423
1984-04-01,7.433333333333334,5.722603743471111
1984-07-01,7.433333333333334,2.9984818513552725
1984-10-01,7.3,5.278265203826837
1985-01-01,7.233333333333333,6.972637557108419
1985-04-01,7.3,3.7276006517870552
1985-07-01,7.2,7.812076802054624
1985-10-01,7.033333333333334,0.8674730219463633
1986-01-01,7.033333333333334,3.5458702058739355
1986-04-01,7.166666666666667,4.42505653440024
1986-07-01,6.966666666666666,7.262912082972872
1986-10-01,6.833333333333333,2.4795815750428662
1987-01-01,6.599999999999999,0.3719023463147897
1987-04-01,6.266666666666667,5.56686996240463
1987-07-01,6.0,4.645254717436598
1987-10-01,5.833333333333333,0.8441165384118765
1988-01-01,5.7,7.259301654435468
1988-04-01,5.466666666666666,2.98731313025824
1988-07-01,5.466666666666666,3.60581706813492
1988-10-01,5.333333333333333,4.6261906206767955
1989-01-01,5.2,1.868681902571212
1989-04-01,5.233333333333333,1.8774159302136217
1989-07-01,5.233333333333333,3.9305040540940084
1989-10-01,5.366666666666667,1.7475956220221578
1990-01-01,5.3,3.407440336477796
1990-04-01,5.333333333333333,1.226541444412188
1990-07-01,5.7,1.5934938927986808
1990-10-01,6.133333333333333,-3.004895918337047
1991-01-01,6.6000000000000005,-1.4977269235420865
1991-04-01,6.833333333333333,3.3593021255603928
1991-07-01,6.866666666666667,2.005875650377109
1991-10-01,7.1000000000000005,-0.1987906285351948
1992-01-01,7.366666666666667,7.701749529077762
1992-04-01,7.6000000000000005,2.7385819112092147
1992-07-01,7.633333333333333,4.363314851106437
1992-10-01,7.366666666666667,4.854030139704069
1993-01-01,7.133333333333333,1.5425924060215035
1993-04-01,7.066666666666666,3.688532246738818
1993-07-01,6.8,4.523461269266993
1993-10-01,6.633333333333333,3.5586164454481928
1994-01-01,6.566666666666666,4.654828326361526
1994-04-01,6.2,3.145720449981204
1994-07-01,6.0,3.082772510545717
1994-10-01,5.633333333333333,4.399239177726977
1995-01-01,5.466666666666666,0.9987068736241334
1995-04-01,5.666666666666667,3.5532906812403953
1995-07-01,5.666666666666667,3.67168350849294
1995-10-01,5.566666666666666,2.8246181135532122
1996-01-01,5.533333333333334,3.737985098125729
1996-04-01,5.5,4.369604583985209
1996-07-01,5.266666666666667,2.448019175202476
1996-10-01,5.333333333333333,3.225320267117171
1997-01-01,5.233333333333333,4.28289901771397
1997-04-01,5.0,1.8098775892803065
1997-07-01,4.866666666666667,6.993438195298385
1997-10-01,4.666666666666667,4.868494531140399
1998-01-01,4.633333333333333,4.103624710702847
1998-04-01,4.3999999999999995,7.231956862982636
1998-07-01,4.533333333333333,5.320156935452913
1998-10-01,4.433333333333334,5.907566382485041
1999-01-01,4.3,4.1728241591777016
1999-04-01,4.266666666666667,6.267975501440315
1999-07-01,4.233333333333333,4.572335938532324
1999-10-01,4.066666666666666,5.980911742510608
2000-01-01,4.033333333333333,6.186023472003943
2000-04-01,3.9333333333333336,3.7870386588738647
2000-07-01,4.0,3.889357491983203
2000-10-01,3.9,3.5375941905105623
2001-01-01,4.233333333333333,1.4611525122999236
2001-04-01,4.3999999999999995,0.8062112134359145
2001-07-01,4.833333333333333,1.4011496371611143
2001-10-01,5.5,6.609577316257909
2002-01-01,5.7,0.8957006192495509
2002-04-01,5.833333333333333,2.03618615287271
2002-07-01,5.733333333333333,2.826681113649121
2002-10-01,5.866666666666667,2.246402273974235
2003-01-01,5.866666666666667,1.9838205674353127
2003-04-01,6.133333333333333,4.656992415880867
2003-07-01,6.133333333333333,5.777269033778931
2003-10-01,5.833333333333333,2.782731725018661
2004-01-01,5.7,3.7839605801801124
2004-04-01,5.599999999999999,2.200583637721931
2004-07-01,5.433333333333334,4.783442582247011
2004-10-01,5.433333333333334,4.599448598139366
2005-01-01,5.3,2.567240546798222
2005-04-01,5.1000000000000005,4.507541461428222
2005-07-01,4.966666666666667,3.358697602882388
2005-10-01,4.966666666666667,0.7391804057343521
2006-01-01,4.733333333333333,4.4322043527381005
2006-04-01,4.633333333333333,2.092301250720374
2006-07-01,4.633333333333334,2.590704712573455
2006-10-01,4.433333333333334,3.8745594810632555
2007-01-01,4.5,2.4861076032302476
2007-04-01,4.5,1.0547261535090113
2007-07-01,4.666666666666667,2.6961929087873537
2007-10-01,4.8,1.5871671892782935
2008-01-01,5.0,-0.5477611380765413
2008-04-01,5.333333333333333,1.103828219843006
2008-07-01,6.0,-3.0472357469624067
2008-10-01,6.866666666666667,-3.549402617547004
2009-01-01,8.266666666666667,-1.0109138794870187
2009-04-01,9.299999999999999,-1.9533578951662967
2009-07-01,9.633333333333333,2.7151617797142036
2009-10-01,9.933333333333334,-0.4379225392797559
2010-01-01,9.833333333333334,2.339983387494504
2010-04-01,9.633333333333333,3.6362133140228403
2010-07-01,9.466666666666667,2.8808655675855777
2010-10-01,9.5,2.4744451622578323
2011-01-01,9.033333333333333,1.535874807457871
2011-04-01,9.066666666666666,0.41217245095366284
2011-07-01,9.0,1.2250721520752128
2011-10-01,8.633333333333333,0.6925741453611245
2012-01-01,8.266666666666667,2.913801405110905
2012-04-01,8.2,0.7047705116586922
2012-07-01,8.033333333333333,0.813505557097538
2012-10-01,7.8,1.6056311969193215
2013-01-01,7.733333333333333,2.6251506241564027
2013-04-01,7.533333333333334,1.1478681758567477
2013-07-01,7.233333333333333,1.638764335676246
2013-10-01,6.933333333333334,3.568208976235021
2014-01-01,6.666666666666667,1.4474848129830686
2014-04-01,6.2,3.895781561614653
2014-07-01,6.066666666666666,4.015724130990672
2014-10-01,5.7,4.686387129102276
2015-01-01,5.533333333333334,3.104153125010911
2015-04-01,5.433333333333334,2.7851067651949224
2015-07-01,5.1000000000000005,2.8433692369852714
2015-10-01,5.033333333333333,1.639405116753645
2016-01-01,4.8999999999999995,3.054729623750041
2016-04-01,4.933333333333334,1.9980923977078735
2016-07-01,4.8999999999999995,2.810177333493802
2016-10-01,4.766666666666667,2.0781739873713567
2017-01-01,4.566666666666666,3.113089062998986
2017-04-01,4.366666666666667,1.9982187819765684
2017-07-01,4.333333333333333,2.73687003644143
2017-10-01,4.166666666666667,4.444066627721566
2018-01-01,4.033333333333333,2.9305308909653105
2018-04-01,3.9333333333333336,2.158110378291611
2018-07-01,3.766666666666667,1.8536025306975068
2018-10-01,3.8333333333333335,1.2559573144981906
