,DATE,GB_UNEMPF0,GB_UNEMPF4,GB_gRPCEF0,GB_gRPCEF1,GB_gRPCEF2,GB_gRPCEF3
0,1982.1,8.8,8.9,3.5,2.0,5.5,3.8
1,1982.2,9.5,9.5,1.4,4.6,4.0,2.0
2,1982.3,10.0,9.9,1.8,3.5,2.6,1.7
3,1982.4,10.7,10.8,3.1,0.9,1.3,3.0
4,1983.1,10.4,9.9,1.9,2.7,4.1,3.6
5,1983.3,9.6,8.8,6.0,5.1,3.1,3.2
6,1983.3,9.4,8.6,3.0,5.0,2.7,2.5
7,1983.4,8.5,7.8,7.5,4.4,3.6,2.4
8,1984.1,7.8,6.7,5.4,3.7,2.5,2.8
9,1984.3,6.9,6.4,5.0,3.4,2.6,2.2
10,1984.3,7.5,6.8,0.8,5.2,3.5,2.9
11,1984.4,7.3,7.0,2.8,4.4,3.2,3.0
12,1985.1,7.3,6.8,6.2,4.1,3.5,3.2
13,1985.3,7.2,7.1,2.2,2.1,2.1,2.0
14,1985.3,7.2,7.0,4.3,-2.0,3.2,1.7
15,1985.4,7.1,7.3,-0.7,3.0,2.0,1.6
16,1986.1,7.0,6.5,2.5,3.3,3.4,3.3
17,1986.3,7.1,6.6,2.5,2.7,2.5,2.2
18,1986.3,6.9,6.6,5.3,-0.7,2.6,2.4
19,1986.4,7.0,6.7,-4.0,3.0,2.6,2.2
20,1987.1,6.7,6.6,-1.8,3.7,1.5,0.5
21,1987.3,6.3,6.3,3.6,0.6,0.8,1.0
22,1987.3,6.0,5.9,6.5,-0.8,1.9,1.6
23,1987.4,6.0,6.2,-2.1,0.3,0.5,1.8
24,1988.1,5.7,5.6,2.8,1.7,2.0,1.7
25,1988.2,5.6,5.8,1.5,3.0,2.2,1.6
26,1988.3,5.5,5.7,3.1,2.5,1.7,1.3
27,1988.4,5.3,5.5,2.4,3.5,2.4,2.4
28,1989.1,5.2,5.6,2.6,4.1,2.7,1.3
29,1989.2,5.3,5.9,1.4,2.2,1.3,1.6
30,1989.3,5.2,5.7,4.7,1.6,2.6,1.6
31,1989.4,5.4,6.0,-0.3,4.5,2.0,1.5
32,1990.1,5.3,5.8,1.7,3.3,2.3,1.8
33,1990.2,5.4,5.9,0.6,2.0,1.7,1.7
34,1990.3,5.6,6.5,2.6,-0.7,0.5,1.7
35,1990.4,5.9,6.5,-2.5,-1.6,2.5,1.4
36,1991.1,6.5,6.2,-3.5,3.6,3.0,2.6
37,1991.2,6.8,6.4,3.4,2.2,2.5,3.0
38,1991.3,6.8,6.6,3.8,1.7,2.5,2.9
39,1991.4,6.9,7.1,-1.0,0.8,1.9,2.6
40,1992.1,7.2,7.1,4.3,2.4,3.1,3.7
41,1992.2,7.3,6.9,1.0,2.3,2.8,2.8
42,1992.3,7.6,7.7,3.5,1.2,1.8,1.9
43,1992.4,7.3,7.0,4.7,3.0,2.9,3.1
44,1993.1,7.0,6.8,3.2,3.3,2.7,2.9
45,1993.2,7.0,6.9,3.2,2.8,2.0,2.1
46,1993.3,6.8,6.7,3.3,2.3,2.2,1.9
47,1993.4,6.6,6.4,4.0,2.4,2.2,2.5
48,1994.1,6.5,6.6,2.5,2.0,2.4,2.4
49,1994.2,6.3,6.4,1.7,2.9,2.3,1.9
50,1994.3,6.1,6.2,2.8,2.9,2.5,1.8
51,1994.4,5.6,5.7,5.5,3.4,2.4,1.6
52,1995.1,5.5,5.7,2.7,3.7,2.1,2.1
53,1995.2,5.8,6.1,1.6,2.1,2.0,2.0
54,1995.3,5.7,5.9,3.2,2.2,2.2,2.1
55,1995.4,5.6,5.6,2.8,2.5,2.3,2.4
56,1996.1,5.6,5.6,2.5,2.4,2.7,2.5
57,1996.2,5.5,5.5,2.9,2.7,2.6,2.6
58,1996.3,5.3,5.4,1.7,3.3,2.8,2.7
59,1996.4,5.3,5.2,3.2,3.4,3.0,3.0
60,1997.1,5.3,4.9,5.0,3.2,3.2,2.7
61,1997.2,4.9,4.6,1.4,4.0,3.2,3.1
62,1997.3,4.8,4.5,4.1,3.4,3.3,3.3
63,1997.4,4.6,4.8,3.5,4.1,3.8,3.2
64,1998.1,4.6,4.7,5.3,4.2,3.7,2.7
65,1998.2,4.3,4.7,5.2,3.8,3.3,2.6
66,1998.3,4.5,5.0,3.5,3.4,2.7,2.4
67,1998.4,4.5,4.7,4.1,3.1,2.9,2.5
68,1999.1,4.3,4.3,6.0,4.1,4.0,4.2
69,1999.2,4.2,4.1,4.4,3.9,4.4,2.0
70,1999.3,4.2,4.1,3.9,4.3,1.7,4.5
71,1999.4,4.1,4.0,5.1,2.8,5.2,4.0
72,2000.1,4.0,4.1,6.1,4.1,4.4,3.8
73,2000.2,4.0,4.0,3.2,4.0,3.6,3.6
74,2000.3,4.1,4.2,4.7,3.8,3.6,3.5
75,2000.4,4.0,4.7,2.9,2.9,3.0,3.0
76,2001.1,4.3,5.4,2.3,0.6,2.0,2.4
77,2001.2,4.5,5.5,1.6,2.3,3.3,1.9
78,2001.3,4.8,6.2,1.5,0.4,0.1,1.1
79,2001.4,5.5,6.0,3.7,-2.6,4.3,4.5
80,2002.1,5.6,5.5,2.1,2.4,2.8,2.9
81,2002.2,5.9,5.7,1.7,2.6,3.0,3.0
82,2002.3,5.8,6.0,4.8,1.1,2.3,2.5
83,2002.4,5.8,5.9,0.0,2.6,3.0,3.4
84,2003.1,5.8,6.0,1.7,2.3,3.2,3.8
85,2003.2,6.1,5.9,2.1,3.8,4.6,4.3
86,2003.3,6.2,5.9,4.8,2.8,4.7,4.5
87,2003.4,6.0,5.3,2.0,4.3,4.9,4.7
88,2004.1,5.6,5.4,3.4,4.8,4.4,4.2
89,2004.2,5.6,5.2,3.4,4.6,4.5,4.1
90,2004.3,5.5,5.4,3.7,4.1,4.0,4.0
91,2004.4,5.4,5.3,3.3,3.7,4.1,4.1
92,2005.1,5.3,5.2,3.9,3.9,3.9,3.7
93,2005.2,5.1,5.1,3.1,3.3,3.5,3.6
94,2005.3,5.0,5.0,4.1,1.1,4.3,3.5
95,2005.4,5.0,5.0,0.7,4.8,3.2,3.2
96,2006.1,4.8,4.8,5.2,3.6,3.5,3.4
97,2006.2,4.7,5.1,2.2,3.2,2.8,3.0
98,2006.3,4.7,5.0,3.1,2.7,2.5,2.5
99,2006.4,4.5,5.0,3.1,2.7,2.3,2.4
100,2007.1,4.6,4.9,3.7,2.2,2.1,2.1
101,2007.2,4.5,4.8,1.6,2.3,2.3,2.5
102,2007.3,4.6,4.9,2.4,1.9,1.7,1.7
103,2007.4,4.7,4.9,1.3,1.4,1.4,1.5
104,2008.1,4.9,5.7,0.2,0.5,1.9,-2.6
105,2008.2,5.3,5.7,2.2,2.6,-3.8,1.0
106,2008.3,6.0,6.2,-0.5,-1.6,1.5,1.8
107,2008.4,6.7,8.1,-4.3,-1.3,0.9,1.4
108,2009.1,8.0,9.4,0.4,0.0,0.0,1.2
109,2009.2,9.3,9.9,-0.4,0.8,1.4,2.1
110,2009.3,9.6,9.4,2.3,0.8,2.5,2.8
111,2009.4,10.1,9.6,1.9,2.7,2.4,2.6
112,2010.1,9.7,9.0,2.4,2.4,2.7,2.9
113,2010.2,9.8,9.1,2.9,2.2,2.3,2.9
114,2010.3,9.6,9.3,2.2,2.0,2.1,2.8
115,2010.4,9.7,8.9,2.7,3.2,3.3,3.5
116,2011.1,9.0,8.4,2.5,3.5,3.5,3.5
117,2011.2,9.0,8.6,1.5,2.6,2.4,2.5
118,2011.3,9.1,8.9,1.7,1.1,1.7,2.1
119,2011.4,8.8,8.6,2.4,2.3,2.2,2.4
120,2012.1,8.4,8.1,1.2,2.6,2.8,2.9
121,2012.2,8.2,8.1,1.9,2.5,2.7,2.1
122,2012.3,8.3,8.1,2.3,2.2,1.1,2.8
123,2012.4,8.0,7.8,2.1,0.6,2.6,2.7
124,2013.1,7.8,7.4,2.1,2.5,2.5,2.7
125,2013.2,7.5,7.0,2.1,3.1,3.6,3.6
126,2013.3,7.3,6.7,2.0,3.1,3.3,3.5
127,2013.4,7.1,6.5,3.2,2.8,3.2,3.4
128,2014.1,6.6,6.0,2.6,3.7,3.8,3.9
129,2014.2,6.3,5.7,3.0,3.7,4.1,3.8
130,2014.3,6.1,5.5,2.0,3.4,3.3,3.0
131,2014.4,5.7,5.2,3.4,3.5,3.6,3.7
132,2015.1,5.5,5.1,3.5,4.4,3.9,3.8
133,2015.2,5.5,5.3,2.8,3.4,3.5,3.6
134,2015.3,5.2,4.9,2.8,2.9,3.1,3.3
135,2015.4,5.0,4.7,2.4,3.4,3.6,3.6
136,2016.1,4.9,4.7,3.1,3.1,2.8,2.6
137,2016.2,4.8,4.7,3.4,2.7,2.5,2.7
138,2016.3,4.9,4.6,3.0,2.2,2.7,2.7
139,2016.4,4.8,4.5,2.1,2.6,2.6,3.7
140,2017.1,4.7,4.5,1.5,3.0,2.9,2.7
141,2017.2,4.3,4.1,3.0,2.8,3.0,3.3
142,2017.3,4.4,3.8,2.0,3.3,2.7,2.6
143,2017.4,4.1,3.6,2.5,2.7,2.6,2.5
